"","SA2_2016","Index1_point","Index1_lower","Index1_upper","Index1_Prob_PercentileAbove80","Index1_Prob_PercentileAbove95","Index1_Prob_PercentileAbove99","Index2_point","Index2_lower","Index2_upper","Index2_Prob_PercentileAbove80","Index2_Prob_PercentileAbove95","Index2_Prob_PercentileAbove99","Index3_point","Index3_lower","Index3_upper","Index3_Prob_PercentileAbove80","Index3_Prob_PercentileAbove95","Index3_Prob_PercentileAbove99","Index4_point","Index4_lower","Index4_upper","Index4_Prob_PercentileAbove80","Index4_Prob_PercentileAbove95","Index4_Prob_PercentileAbove99","Scores1_point","Scores1_lower","Scores1_upper","Scores2_point","Scores2_lower","Scores2_upper","Scores3_point","Scores3_lower","Scores3_upper","Scores4_point","Scores4_lower","Scores4_upper"
"1866",206041120,29,7,66,0.010125,0.000125,0,23,3,46,0,0,0,24,4,46,0,0,0,48,46,49,0,0,0,-0.342551775809489,-1.26412662385073,0.677946670311357,-1.00478679194523,-2.04005894643999,0.0384062523428753,-0.71104623358151,-1.43099548512064,0.0380687557344491,-52.6174212850317,-105.893665898927,2.81708792434924
"1867",206041121,22,10,40,0,0,0,18,4,33,0,0,0,16,5,31,0,0,0,18,11,28,0,0,0,-0.566439471727035,-1.16427684479248,0.0601740459244347,-1.26049786882724,-2.00469675001836,-0.460387413736697,-0.95491262009515,-1.48063295111632,-0.396423635822183,-9375.80956040423,-14537.5946305356,-3892.2854683201
"1868",206051131,48,16,82,0.0545,0.001,0.000125,20,2,37,0,0,0,27,8,47,0,0,0,46,44,49,0,0,0,0.116423905063926,-0.709357382052062,0.922550368391195,-1.16843796471896,-2.06716976479191,-0.275336047855179,-0.597383587714579,-1.22097391289617,0.0528100342488367,-194.149666007238,-396.816521691256,17.1632611308719
"1869",208021180,13,7,21,0,0,0,15,2,27,0,0,0,9,2,19,0,0,0,19,13,25,0,0,0,-1.08714851518687,-1.64666898936161,-0.534527426858252,-1.40174099362961,-2.12508778609549,-0.699948252915468,-1.2642307516668,-1.79265022012154,-0.785200213077515,-8391.96372956421,-11899.6121611668,-5212.15901440854
"1870",208031183,16,9,27,0,0,0,33,14,51,0,0,0,23,10,40,0,0,0,26,16,36,0,0,0,-0.889636678560761,-1.43379048819933,-0.312833842257863,-0.582781104753255,-1.32455716431293,0.145046302379222,-0.71729716854921,-1.24532815495157,-0.220495196700039,-5401.60632775983,-9377.94367086282,-1660.43907874964
"1871",208031184,32,9,67,0.010625,0,0,40,14,65,0.002625,0,0,38,13,61,0.00075,0,0,49,47,50,0,0,0,-0.255247110592849,-1.11634377002758,0.650097242521447,-0.328568881605312,-1.35927978806759,0.6299212679284,-0.294909358065804,-0.98204021149406,0.394425272327589,-8.1100073468096,-27.0061058160867,10.8466949890087
"1872",208041195,26,14,42,0,0,0,8,2,17,0,0,0,10,3,19,0,0,0,5,2,10,0,0,0,-0.425177274698934,-0.893311662976462,0.048356932405884,-1.82904906725335,-2.45694295627071,-1.21746066318715,-1.20509141157062,-1.61581988903091,-0.769292228676248,-22838.8924320863,-30623.0185369139,-14579.6263178723
"1873",209011204,27,14,44,0,0,0,35,18,51,0,0,0,32,16,47,0,0,0,31,21,45,0,0,0,-0.408362487044858,-0.885353753464433,0.0992146171707324,-0.496636365747073,-1.14270809744579,0.164875751055403,-0.4553707168273,-0.901200931728819,0.000590576002006543,-3524.34166288489,-6974.84461111519,4.57076296752964
"1874",209031213,25,15,39,0,0,0,38,23,52,0,0,0,33,20,46,0,0,0,31,22,43,0,0,0,-0.472622889173606,-0.903579279094434,-0.0242070443086544,-0.404046151461062,-0.97994771313702,0.154578260581984,-0.436643873662749,-0.830038800853498,-0.0523158514675099,-3473.0653711135,-6602.12862198872,-416.120282572573
"1875",209031214,56,32,79,0.021875,0,0,31,14,47,0,0,0,40,23,56,0,0,0,39,29,56,0,0,0,0.264837292753298,-0.235927718911399,0.782231090570276,-0.656828803284685,-1.31050687274026,0.023211788578189,-0.247556787246232,-0.729571551843732,0.199588225682617,-1383.71866231281,-4077.94018903054,1115.59838745299
